,country,year,sex,age,suicides_no,population,rate_per_100k
23254,Lithuania,2001,male,55-74,322.0,276422.0,116.48855735071739
36143,Slovenia,1997,male,75+,31.0,26800.0,115.67164179104476
23158,Lithuania,1993,male,55-74,312.0,269891.0,115.60222460178367
23276,Lithuania,2003,male,35-54,529.0,458658.0,115.33648164863581
36215,Slovenia,2003,male,75+,40.0,34740.0,115.14104778353483
36131,Slovenia,1996,male,75+,30.0,26100.0,114.94252873563218
36251,Slovenia,2006,male,75+,48.0,41789.0,114.86276292804327
13592,Estonia,1993,male,35-54,215.0,188220.0,114.22803102752098
22799,Latvia,1997,male,75+,35.0,30900.0,113.26860841423948
13619,Estonia,1995,male,75+,20.0,17701.0,112.98796678153776
33140,Russian Federation,1995,male,35-54,21706.0,19249600.0,112.76078463968082
18250,Hungary,1983,male,55-74,1009.0,895500.0,112.67448352875489
18551,Hungary,2008,male,75+,263.0,233660.0,112.55670632543013
23171,Lithuania,1994,male,75+,54.0,47979.0,112.54924029262803
37067,Sri Lanka,1981,male,75+,108.0,96000.0,112.5
13595,Estonia,1993,male,75+,21.0,18691.0,112.35353913648281
13643,Estonia,1997,male,75+,20.0,17817.0,112.25234326766572
18202,Hungary,1979,male,55-74,984.0,883400.0,111.38781978718588
13463,Estonia,1981,male,75+,20.0,18000.0,111.11111111111111
23144,Lithuania,1992,male,35-54,477.0,431056.0,110.65847592888164
18491,Hungary,2003,male,75+,236.0,213793.0,110.38715018733075
23255,Lithuania,2001,male,75+,57.0,51713.0,110.22373484423646
33131,Russian Federation,1994,male,75+,1412.0,1281400.0,110.19197752458248
36239,Slovenia,2005,male,75+,43.0,39044.0,110.13215859030836
13607,Estonia,1994,male,75+,20.0,18176.0,110.03521126760563
13640,Estonia,1997,male,35-54,193.0,176261.0,109.49671226192976
18539,Hungary,2007,male,75+,252.0,230464.0,109.34462649264093
36023,Slovenia,1987,male,75+,33.0,30200.0,109.27152317880795
22772,Latvia,1995,male,35-54,339.0,311700.0,108.75842155919153
18262,Hungary,1984,male,55-74,970.0,893500.0,108.5618354784555
22607,Latvia,1981,male,75+,39.0,36000.0,108.33333333333334
37163,Sri Lanka,1998,male,75+,214.0,197754.0,108.21525733992738
22762,Latvia,1994,male,55-74,219.0,202400.0,108.20158102766798
37103,Sri Lanka,1984,male,75+,122.0,113000.0,107.96460176991151
36323,Slovenia,2012,male,75+,60.0,55583.0,107.94667434287462
36167,Slovenia,1999,male,75+,31.0,28800.0,107.6388888888889
37079,Sri Lanka,1982,male,75+,118.0,110000.0,107.27272727272727
23288,Lithuania,2004,male,35-54,491.0,457735.0,107.26730531857953
33116,Russian Federation,1993,male,35-54,20256.0,18908000.0,107.12925745716099
22786,Latvia,1996,male,55-74,219.0,205100.0,106.77718186250608
36203,Slovenia,2002,male,75+,35.0,32799.0,106.71057044422086
18226,Hungary,1981,male,55-74,956.0,896400.0,106.64881749219099
32975,Russian Federation,1981,male,75+,1073.0,1006200.0,106.63883919697874
18260,Hungary,1984,male,35-54,1420.0,1332500.0,106.56660412757974
23302,Lithuania,2005,male,55-74,289.0,271641.0,106.39041970836507
22775,Latvia,1995,male,75+,33.0,31100.0,106.10932475884245
18272,Hungary,1985,male,35-54,1421.0,1340700.0,105.98940851793839
23206,Lithuania,1997,male,55-74,294.0,277983.0,105.76186313551548
23060,Lithuania,1985,male,35-54,443.0,419400.0,105.62708631378159
18214,Hungary,1980,male,55-74,943.0,892900.0,105.61093067532758
36011,Slovenia,1986,male,75+,31.0,29400.0,105.4421768707483
33152,Russian Federation,1996,male,35-54,20562.0,19507100.0,105.40777460514377
22703,Latvia,1989,male,75+,42.0,39900.0,105.26315789473684
23024,Lithuania,1981,male,35-54,442.0,420100.0,105.21304451321114
36311,Slovenia,2011,male,75+,56.0,53258.0,105.14852228773141
23278,Lithuania,2003,male,55-74,288.0,274066.0,105.08417680412747
22715,Latvia,1990,male,75+,41.0,39100.0,104.85933503836317
33119,Russian Federation,1993,male,75+,1364.0,1302200.0,104.74581477499616
36119,Slovenia,1995,male,75+,27.0,25800.0,104.65116279069767
18298,Hungary,1987,male,55-74,927.0,886300.0,104.59212456278912
18286,Hungary,1986,male,55-74,931.0,890600.0,104.53626768470693
18238,Hungary,1982,male,55-74,936.0,896700.0,104.38273670123786
36155,Slovenia,1998,male,75+,29.0,27800.0,104.31654676258992
21407,Kazakhstan,1994,male,75+,94.0,90300.0,104.09745293466223
13654,Estonia,1998,male,55-74,123.0,118242.0,104.02395088039782
33130,Russian Federation,1994,male,55-74,11431.0,11006300.0,103.85869910869229
22750,Latvia,1993,male,55-74,207.0,199700.0,103.65548322483725
18248,Hungary,1983,male,35-54,1372.0,1325600.0,103.50030175015087
23300,Lithuania,2005,male,35-54,469.0,453800.0,103.34949316879683
23266,Lithuania,2002,male,55-74,285.0,275961.0,103.27546283714004
33071,Russian Federation,1989,male,75+,1393.0,1349100.0,103.25402119931806
32987,Russian Federation,1982,male,75+,1084.0,1050400.0,103.1987814166032
18284,Hungary,1986,male,35-54,1392.0,1351000.0,103.03478904515174
23036,Lithuania,1982,male,35-54,430.0,418700.0,102.69882971101026
13571,Estonia,1991,male,75+,21.0,20455.0,102.66438523588364
22763,Latvia,1994,male,75+,33.0,32200.0,102.48447204968944
23230,Lithuania,1999,male,55-74,284.0,277228.0,102.44275470010245
32960,Russian Federation,1980,male,35-54,17610.0,17229600.0,102.20782838835493
32972,Russian Federation,1981,male,35-54,17355.0,17023600.0,101.94670927418407
22727,Latvia,1991,male,75+,38.0,37300.0,101.87667560321717
32984,Russian Federation,1982,male,35-54,17215.0,16915700.0,101.76936219015471
36263,Slovenia,2007,male,75+,45.0,44241.0,101.71560317352682
22739,Latvia,1992,male,75+,36.0,35400.0,101.69491525423729
37187,Sri Lanka,2000,male,75+,200.0,196877.0,101.5862695998009
18575,Hungary,2010,male,75+,242.0,238269.0,101.5658772228028
33059,Russian Federation,1988,male,75+,1315.0,1301500.0,101.03726469458317
22787,Latvia,1996,male,75+,31.0,30700.0,100.9771986970684
13618,Estonia,1995,male,55-74,119.0,117994.0,100.85258572469786
22667,Latvia,1986,male,75+,39.0,38900.0,100.25706940874036
18599,Hungary,2012,male,75+,233.0,232766.0,100.10053014615538
33023,Russian Federation,1985,male,75+,1165.0,1163900.0,100.09450983761492
23039,Lithuania,1982,male,75+,56.0,56100.0,99.8217468805704
23159,Lithuania,1993,male,75+,50.0,50134.0,99.7327163202617
18274,Hungary,1985,male,55-74,889.0,892400.0,99.61900493052444
22619,Latvia,1982,male,75+,37.0,37200.0,99.46236559139786
36359,Slovenia,2015,male,75+,62.0,62345.0,99.44662763653862
33190,Russian Federation,1999,male,55-74,10609.0,10669100.0,99.43669100486451
33142,Russian Federation,1995,male,55-74,11152.0,11227000.0,99.33196757815979
23290,Lithuania,2004,male,55-74,271.0,272871.0,99.31432801580235
18296,Hungary,1987,male,35-54,1351.0,1362300.0,99.17052044336783
33212,Russian Federation,2001,male,35-54,21262.0,21476420.0,99.00160268797127
22808,Latvia,1998,male,35-54,309.0,312200.0,98.97501601537476
36335,Slovenia,2013,male,75+,57.0,57600.0,98.95833333333334
33083,Russian Federation,1990,male,75+,1366.0,1382500.0,98.80650994575046
22655,Latvia,1985,male,75+,38.0,38500.0,98.7012987012987
13679,Estonia,2000,male,75+,19.0,19265.0,98.62444848170257
33047,Russian Federation,1987,male,75+,1238.0,1255400.0,98.6139875736817
33200,Russian Federation,2000,male,35-54,21063.0,21378098.0,98.52607093484181
33188,Russian Federation,1999,male,35-54,20705.0,21016400.0,98.51829999429017
13496,Estonia,1985,male,35-54,184.0,187200.0,98.29059829059828
22784,Latvia,1996,male,35-54,305.0,310400.0,98.26030927835052
13642,Estonia,1997,male,55-74,117.0,119232.0,98.1280193236715
22823,Latvia,1999,male,75+,31.0,31600.0,98.10126582278481
22616,Latvia,1982,male,35-54,319.0,325800.0,97.91282995702885
36022,Slovenia,1987,male,55-74,132.0,135100.0,97.70540340488527
32963,Russian Federation,1980,male,75+,946.0,969900.0,97.53582843592123
13583,Estonia,1992,male,75+,19.0,19486.0,97.50590167299599
22798,Latvia,1997,male,55-74,201.0,206400.0,97.38372093023256
36083,Slovenia,1992,male,75+,26.0,26700.0,97.37827715355805
23348,Lithuania,2009,male,35-54,428.0,440281.0,97.21064501988504
33167,Russian Federation,1997,male,75+,1205.0,1241100.0,97.091289984691
33095,Russian Federation,1991,male,75+,1326.0,1371000.0,96.71772428884026
22871,Latvia,2003,male,75+,34.0,35172.0,96.66780393494827
18212,Hungary,1980,male,35-54,1282.0,1328500.0,96.49981181783967
41147,Ukraine,1994,male,75+,569.0,590100.0,96.42433485849857
36299,Slovenia,2010,male,75+,49.0,50887.0,96.29178375616561
36010,Slovenia,1986,male,55-74,127.0,132300.0,95.99395313681028
35998,Slovenia,1985,male,55-74,124.0,129200.0,95.97523219814241
33155,Russian Federation,1996,male,75+,1192.0,1242800.0,95.91245574509172
23219,Lithuania,1998,male,75+,47.0,49012.0,95.89488288582388
23231,Lithuania,1999,male,75+,48.0,50173.0,95.66898531082454
37091,Sri Lanka,1983,male,75+,106.0,111000.0,95.49549549549549
22604,Latvia,1981,male,35-54,313.0,328000.0,95.42682926829269
33164,Russian Federation,1997,male,35-54,18973.0,19913400.0,95.27755179929093
41159,Ukraine,1995,male,75+,548.0,575700.0,95.18846621504257
36046,Slovenia,1989,male,55-74,133.0,139900.0,95.06790564689064
22796,Latvia,1997,male,35-54,295.0,310700.0,94.94689411007403
33118,Russian Federation,1993,male,55-74,10118.0,10681300.0,94.72629736080813
33166,Russian Federation,1997,male,55-74,10726.0,11327500.0,94.68991392628558
33154,Russian Federation,1996,male,55-74,10754.0,11361400.0,94.65382787332547
33035,Russian Federation,1986,male,75+,1141.0,1206600.0,94.56323553787502
33224,Russian Federation,2002,male,35-54,20119.0,21320535.0,94.36442378204862
23396,Lithuania,2013,male,35-54,382.0,405191.0,94.2765263789176
21347,Kazakhstan,1989,male,75+,95.0,100800.0,94.24603174603175
13652,Estonia,1998,male,35-54,166.0,176185.0,94.21914464909045
33127,Russian Federation,1994,male,25-34,10310.0,10947200.0,94.17933352820813
33202,Russian Federation,2000,male,55-74,9656.0,10282841.0,93.90400960201562
33143,Russian Federation,1995,male,75+,1182.0,1258900.0,93.89149257288108
13459,Estonia,1981,male,25-34,107.0,114000.0,93.85964912280703
37235,Sri Lanka,2006,male,75+,211.0,224927.0,93.80821333143642
22919,Latvia,2007,male,75+,39.0,41634.0,93.67343997694192
13523,Estonia,1987,male,75+,19.0,20300.0,93.59605911330048
23132,Lithuania,1991,male,35-54,403.0,431047.0,93.49328495500491
18200,Hungary,1979,male,35-54,1246.0,1337500.0,93.1588785046729
21428,Kazakhstan,1996,male,35-54,1630.0,1753600.0,92.95164233576642
36130,Slovenia,1996,male,55-74,154.0,165900.0,92.82700421940928
18334,Hungary,1990,male,55-74,807.0,869707.0,92.78987061159678
23279,Lithuania,2003,male,75+,53.0,57169.0,92.70758627927722
18236,Hungary,1982,male,35-54,1222.0,1320000.0,92.57575757575758
37151,Sri Lanka,1997,male,75+,181.0,195537.0,92.56560139513238
18322,Hungary,1989,male,55-74,813.0,878600.0,92.53357614386525
37098,Sri Lanka,1984,male,15-24,1522.0,1648000.0,92.35436893203884
22628,Latvia,1983,male,35-54,299.0,324100.0,92.25547670472076
18320,Hungary,1989,male,35-54,1296.0,1405200.0,92.22886421861656
33214,Russian Federation,2001,male,55-74,9234.0,10030533.0,92.05891651021935
33107,Russian Federation,1992,male,75+,1233.0,1340500.0,91.98060425214473
41135,Ukraine,1993,male,75+,559.0,608000.0,91.9407894736842
37175,Sri Lanka,1999,male,75+,182.0,198230.0,91.81254098774151
22738,Latvia,1992,male,55-74,180.0,196100.0,91.78990311065782
23146,Lithuania,1992,male,55-74,243.0,265188.0,91.63310557038781
33139,Russian Federation,1995,male,25-34,9787.0,10700700.0,91.46130626968329
22736,Latvia,1992,male,35-54,299.0,327000.0,91.43730886850153
18635,Hungary,2015,male,75+,221.0,241730.0,91.42431638605055
23411,Lithuania,2014,male,75+,72.0,78763.0,91.41348094917664
31535,Republic of Korea,2001,male,75+,328.0,359104.0,91.33844234539298
18224,Hungary,1981,male,35-54,1204.0,1320400.0,91.18448954862163
22592,Latvia,1980,male,35-54,300.0,329400.0,91.07468123861567
37086,Sri Lanka,1983,male,15-24,1479.0,1628000.0,90.84766584766584
23167,Lithuania,1994,male,25-34,263.0,289509.0,90.84346255211409
33239,Russian Federation,2003,male,75+,1497.0,1648684.0,90.79969236069495
21454,Kazakhstan,1998,male,55-74,692.0,762500.0,90.75409836065573
23350,Lithuania,2009,male,55-74,239.0,263507.0,90.69967780742068
18209,Hungary,1980,female,75+,282.0,311400.0,90.5587668593449
18563,Hungary,2009,male,75+,214.0,236367.0,90.53717312484399
23336,Lithuania,2008,male,35-54,401.0,444829.0,90.14700030798352
21442,Kazakhstan,1997,male,55-74,740.0,822400.0,89.98054474708171
18527,Hungary,2006,male,75+,204.0,227029.0,89.85636196256866
23108,Lithuania,1989,male,35-54,386.0,429658.0,89.83889512123596
23084,Lithuania,1987,male,35-54,381.0,424900.0,89.668157213462
18344,Hungary,1991,male,35-54,1271.0,1420586.0,89.47012007720758
33226,Russian Federation,2002,male,55-74,8850.0,9892090.0,89.46542136191644
22640,Latvia,1984,male,35-54,290.0,324200.0,89.45095619987661
23023,Lithuania,1981,male,25-34,214.0,239300.0,89.42749686585876
21440,Kazakhstan,1997,male,35-54,1577.0,1766200.0,89.28773638319556
18356,Hungary,1992,male,35-54,1281.0,1435500.0,89.23719958202716
18310,Hungary,1988,male,55-74,785.0,882700.0,88.9316868698312
33236,Russian Federation,2003,male,35-54,18681.0,21007346.0,88.92603568294633
33251,Russian Federation,2004,male,75+,1580.0,1776778.0,88.92500920205
22679,Latvia,1987,male,75+,35.0,39400.0,88.83248730964466
36034,Slovenia,1988,male,55-74,122.0,137400.0,88.79184861717611
41171,Ukraine,1996,male,75+,502.0,566700.0,88.58302452796894
33020,Russian Federation,1985,male,35-54,14891.0,16814300.0,88.56152203778926
23239,Lithuania,2000,male,25-34,221.0,249865.0,88.44776179136734
13460,Estonia,1981,male,35-54,165.0,186700.0,88.37707552222817
18308,Hungary,1988,male,35-54,1218.0,1378600.0,88.3505005077615
36070,Slovenia,1991,male,55-74,132.0,149500.0,88.2943143812709
23314,Lithuania,2006,male,55-74,238.0,269578.0,88.28613610902967
33151,Russian Federation,1996,male,25-34,9214.0,10443600.0,88.22628212493775
33211,Russian Federation,2001,male,25-34,8886.0,10078045.0,88.17186269757676
36106,Slovenia,1994,male,55-74,143.0,162200.0,88.16276202219481
33176,Russian Federation,1998,male,35-54,18058.0,20487900.0,88.13982887460404
18332,Hungary,1990,male,35-54,1231.0,1397151.0,88.10787094594643
36275,Slovenia,2008,male,75+,41.0,46547.0,88.08301286871334
33179,Russian Federation,1998,male,75+,1110.0,1261400.0,87.99746313619787
21419,Kazakhstan,1995,male,75+,76.0,86400.0,87.96296296296296
22691,Latvia,1988,male,75+,35.0,39800.0,87.93969849246231
23275,Lithuania,2003,male,25-34,205.0,233362.0,87.8463503055339
37223,Sri Lanka,2003,male,75+,190.0,216549.0,87.73995723831557
13499,Estonia,1985,male,75+,17.0,19400.0,87.62886597938144
33178,Russian Federation,1998,male,55-74,9683.0,11058100.0,87.56477152494551
21299,Kazakhstan,1985,male,75+,86.0,98300.0,87.48728382502543
21430,Kazakhstan,1996,male,55-74,731.0,836900.0,87.34615844186881
23227,Lithuania,1999,male,25-34,224.0,257244.0,87.07686087916531
18358,Hungary,1992,male,55-74,766.0,880216.0,87.02409408599706
13594,Estonia,1993,male,55-74,101.0,116217.0,86.906390631319
41170,Ukraine,1996,male,55-74,3821.0,4397200.0,86.89620667697625
22811,Latvia,1998,male,75+,27.0,31100.0,86.81672025723472
13666,Estonia,1999,male,55-74,101.0,116703.0,86.5444761488565
23267,Lithuania,2002,male,75+,47.0,54325.0,86.51633686148182
33275,Russian Federation,2006,male,75+,1701.0,1966649.0,86.49230238847909
22832,Latvia,2000,male,35-54,265.0,306512.0,86.45664770057942
37074,Sri Lanka,1982,male,15-24,1386.0,1605000.0,86.35514018691589
18382,Hungary,1994,male,55-74,765.0,885885.0,86.35432364245924
33199,Russian Federation,2000,male,25-34,8654.0,10025181.0,86.3226309829219
22834,Latvia,2000,male,55-74,175.0,203290.0,86.08391952383295
33191,Russian Federation,1999,male,75+,1128.0,1310400.0,86.08058608058609
18221,Hungary,1981,female,75+,272.0,316700.0,85.8856962425008
41087,Ukraine,1989,male,75+,589.0,685800.0,85.88509769612132
18346,Hungary,1991,male,55-74,751.0,874916.0,85.83681176250063
23263,Lithuania,2002,male,25-34,204.0,237814.0,85.78132490097302
21418,Kazakhstan,1995,male,55-74,737.0,859800.0,85.71760874622004
33223,Russian Federation,2002,male,25-34,8696.0,10156286.0,85.62185034962583
18611,Hungary,2013,male,75+,201.0,234783.0,85.61096842616374
37110,Sri Lanka,1985,male,15-24,1432.0,1673000.0,85.59473998804542
18257,Hungary,1984,female,75+,291.0,340000.0,85.58823529411765
41182,Ukraine,1997,male,55-74,3735.0,4369600.0,85.47693152691322
21335,Kazakhstan,1988,male,75+,85.0,99600.0,85.34136546184739
22595,Latvia,1980,male,75+,30.0,35200.0,85.22727272727273
36347,Slovenia,2014,male,75+,51.0,59850.0,85.21303258145363
32986,Russian Federation,1982,male,55-74,6236.0,7325500.0,85.12729506518328
21416,Kazakhstan,1995,male,35-54,1523.0,1791600.0,85.00781424425095
13472,Estonia,1982,male,35-54,158.0,185900.0,84.9919311457773
13580,Estonia,1992,male,35-54,164.0,193038.0,84.9573659072307
13715,Estonia,2003,male,75+,19.0,22380.0,84.89722966934764
23062,Lithuania,1985,male,55-74,184.0,216800.0,84.87084870848707
23203,Lithuania,1997,male,25-34,231.0,272292.0,84.83539729408136
33263,Russian Federation,2005,male,75+,1599.0,1885942.0,84.78521608829963
21476,Kazakhstan,2000,male,35-54,1527.0,1802430.0,84.71896273364291
23287,Lithuania,2004,male,25-34,193.0,227897.0,84.68738070268586
21452,Kazakhstan,1998,male,35-54,1459.0,1724400.0,84.60913941080956
36094,Slovenia,1993,male,55-74,134.0,158400.0,84.5959595959596
22642,Latvia,1984,male,55-74,139.0,164400.0,84.54987834549878
23195,Lithuania,1996,male,75+,40.0,47319.0,84.53264016568397
23134,Lithuania,1991,male,55-74,219.0,259176.0,84.498564681915
33203,Russian Federation,2000,male,75+,1165.0,1380292.0,84.40243079000675
33299,Russian Federation,2008,male,75+,1712.0,2029226.0,84.36714294021465
22810,Latvia,1998,male,55-74,174.0,206400.0,84.30232558139535
13630,Estonia,1996,male,55-74,100.0,118715.0,84.23535357789665
23423,Lithuania,2015,male,75+,67.0,79672.0,84.09478863339693
21488,Kazakhstan,2001,male,35-54,1519.0,1807120.0,84.05639913232103
23398,Lithuania,2013,male,55-74,223.0,265835.0,83.88662140049279
21478,Kazakhstan,2000,male,55-74,586.0,698665.0,83.87424588322014
22822,Latvia,1999,male,55-74,172.0,205100.0,83.86153096050707
41194,Ukraine,1998,male,55-74,3589.0,4280900.0,83.83751080380294
22652,Latvia,1985,male,35-54,272.0,324500.0,83.82126348228043
41218,Ukraine,2000,male,55-74,3380.0,4033000.0,83.80857922142326
33238,Russian Federation,2003,male,55-74,8314.0,9920853.0,83.80327780282603
18428,Hungary,1998,male,35-54,1185.0,1414258.0,83.78952072394145
33248,Russian Federation,2004,male,35-54,17465.0,20843896.0,83.78951804403553
41206,Ukraine,1999,male,55-74,3489.0,4166600.0,83.73733979743676
13664,Estonia,1999,male,35-54,148.0,176841.0,83.69099925922156
23215,Lithuania,1998,male,25-34,222.0,265304.0,83.67759249766306
32974,Russian Federation,1981,male,55-74,5797.0,6936100.0,83.57722639523651
33104,Russian Federation,1992,male,35-54,15824.0,18933500.0,83.5767290780891
41183,Ukraine,1997,male,75+,475.0,568700.0,83.52382627044135
18587,Hungary,2011,male,75+,200.0,239506.0,83.50521490067055
21523,Kazakhstan,2004,male,25-34,967.0,1159137.0,83.42413364425431
41123,Ukraine,1992,male,75+,530.0,635600.0,83.38577721837633
23362,Lithuania,2010,male,55-74,219.0,262907.0,83.29941766480162
23120,Lithuania,1990,male,35-54,359.0,431107.0,83.2739899839251
33215,Russian Federation,2001,male,75+,1236.0,1485110.0,83.22615833170606
18370,Hungary,1993,male,55-74,736.0,885398.0,83.12645838368734
23372,Lithuania,2011,male,35-54,349.0,420391.0,83.01795233485018
23360,Lithuania,2010,male,35-54,357.0,430396.0,82.94686753594364
33115,Russian Federation,1993,male,25-34,9328.0,11260400.0,82.83897552484814
18380,Hungary,1994,male,35-54,1194.0,1442354.0,82.78134216704083
23303,Lithuania,2005,male,75+,52.0,62849.0,82.7379910579325
31642,Republic of Korea,2010,male,55-74,3298.0,3986626.0,82.72659637497975
22846,Latvia,2001,male,55-74,165.0,199825.0,82.57225071937945
21502,Kazakhstan,2002,male,55-74,582.0,704901.0,82.56478569331013
22844,Latvia,2001,male,35-54,252.0,305252.0,82.55474165607433
13535,Estonia,1988,male,75+,17.0,20600.0,82.5242718446602
41168,Ukraine,1996,male,35-54,5203.0,6305700.0,82.51264728737492
18368,Hungary,1993,male,35-54,1189.0,1441399.0,82.4893037944386
22606,Latvia,1981,male,55-74,126.0,152800.0,82.46073298429319
33287,Russian Federation,2007,male,75+,1660.0,2015773.0,82.3505424469918
23326,Lithuania,2007,male,55-74,220.0,267333.0,82.29436695058223
18440,Hungary,1999,male,35-54,1138.0,1384204.0,82.21331537836907
21511,Kazakhstan,2003,male,25-34,938.0,1141761.0,82.15379575935769
13582,Estonia,1992,male,55-74,94.0,114501.0,82.09535287901416
31582,Republic of Korea,2005,male,55-74,2680.0,3271489.0,81.9198841872921
23096,Lithuania,1988,male,35-54,350.0,427700.0,81.83306055646482
18406,Hungary,1996,male,55-74,718.0,878781.0,81.70408782165295
36082,Slovenia,1992,male,55-74,126.0,154300.0,81.65910563836682
