,year,age,suicides_no
47,1986,75+ years,18485.0
53,1987,75+ years,19144.0
59,1988,75+ years,19505.0
65,1989,75+ years,19591.0
71,1990,75+ years,22367.0
77,1991,75+ years,21402.0
83,1992,75+ years,21329.0
89,1993,75+ years,21032.0
95,1994,75+ years,21059.0
101,1995,75+ years,21102.0
107,1996,75+ years,20852.0
113,1997,75+ years,21075.0
119,1998,75+ years,21971.0
125,1999,75+ years,21871.0
131,2000,75+ years,21873.0
137,2001,75+ years,21676.0
143,2002,75+ years,22652.0
149,2003,75+ years,23243.0
155,2004,75+ years,22778.0
161,2005,75+ years,22733.0
167,2006,75+ years,23097.0
173,2007,75+ years,23823.0
179,2008,75+ years,23826.0
185,2009,75+ years,23769.0
191,2010,75+ years,24111.0
197,2011,75+ years,24489.0
203,2012,75+ years,24867.0
209,2013,75+ years,24496.0
215,2014,75+ years,25141.0
221,2015,75+ years,23347.0
227,2016,75+ years,1879.0
